ans_idx,symptoms,persona,model_ans
0,失眠神疲、思慮過度,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也睡得很淺，很容易醒來。白天精神很差，一直覺得很累，腦子裡也一直胡思亂想，停不下來。,a
0,失眠神疲、心血不足,我最近失眠很嚴重，每天晚上都睡不著，白天精神很差，感覺心臟無力，氣血不足。,b
0,失眠神疲、心悸虛煩,我最近失眠得很嚴重，整天都覺得很累，心臟跳得很快，人也煩躁不安。,c
0,失眠神疲、健忘,我最近失眠很嚴重，晚上躺在床上翻來覆去睡不著，白天精神很差，很容易累，而且記憶力變得很差，很多事情都記不住。,f
0,失眠神疲、口舌生瘡,我最近失眠得很嚴重，每天晚上都睡不著，白天精神很差，而且嘴巴和舌頭都長了好多小瘡。,a
0,健忘、思慮過度,我最近記憶力變差，常常忘記事情，而且腦子裡一直胡思亂想，停不下來，害我晚上睡不著。,a
0,健忘、心血不足,我最近記憶力變差，很多事情都記不住。而且常常覺得心悸、氣短，好像心臟沒力氣一樣。,a
0,健忘、心悸虛煩,我最近記憶力變差，很多事情都記不住。睡覺時心臟跳很快，醒來後也覺得心煩意亂。,a
0,健忘、失眠神疲,我最近記憶力變差，常常忘記事情。晚上睡不著，白天精神很差，整天都覺得很累。,f
0,健忘、口舌生瘡,最近我記憶力變差，常常忘記事情，而且嘴巴破洞、長瘡，晚上睡覺也睡不好。,a
0,口舌生瘡、思慮過度,我最近睡得很差，嘴巴和舌頭都破了，腦子裡一直胡思亂想，停不下來。,a
0,口舌生瘡、心血不足,我最近睡得很差，嘴巴和舌頭都破了，感覺心臟跳得很無力，好像血不夠一樣。,a
0,口舌生瘡、心悸虛煩,最近睡覺老是睡不好，醒來後嘴巴和舌頭破破爛爛的，心臟也跳得很快，整個人都很煩躁。,a
0,口舌生瘡、失眠神疲,最近睡覺睡不好，嘴巴和舌頭都破了，人也變得很累，精神不濟。,a
0,口舌生瘡、健忘,最近睡眠品質很差，睡醒後嘴巴破洞、舌頭長瘡，而且記憶力變差，很多事情都記不住。,a
1,思慮過度、勞傷心脾,最近壓力很大，腦子一直轉個不停，睡覺時也無法放鬆，常常半夜醒來，醒後就再也睡不著了。,a
1,思慮過度、健忘不眠,我最近腦子一直轉個不停，想東想西，結果晚上睡不著，就算睡著了也很容易醒來，而且記性變得很差，很多事情都記不住。,a
1,思慮過度、盜汗虛熱,我最近睡得很差，腦子裡一直胡思亂想，停不下來。睡著後還會盜汗，醒來後覺得身體很熱。,e
1,思慮過度、食少體倦,最近我常常睡不好，腦子裡一直想東想西，停不下來。吃不下東西，人也變得很疲倦。,b
1,思慮過度、脾不統血,我最近睡得很差，腦子裡一直胡思亂想，停不下來。而且晚上睡覺時，常常會突然驚醒，感覺心臟跳得好快，好像要跳出來一樣。,a
1,思慮過度、心脾兩虛氣血不足者,我最近睡得很差，腦子裡一直胡思亂想，停不下來。而且我很容易心悸、氣短，感覺身體很虛弱。,a
1,勞傷心脾、思慮過度,最近工作壓力大，想太多，導致心神不寧，晚上睡不著，就算睡著了也容易醒來。,f
1,勞傷心脾、健忘不眠,最近工作壓力大，心神不寧，晚上睡不著，就算睡著了也很容易醒來，而且記憶力變差，很多事情都記不住。,f
1,勞傷心脾、盜汗虛熱,最近睡眠很差，常常半夜盜汗，醒來後覺得身體虛熱，而且心神不寧，容易疲倦。,h
1,勞傷心脾、食少體倦,最近工作壓力大，心神不寧，睡不好，吃不下東西，人也變得很疲倦。,b
1,勞傷心脾、脾不統血,最近我睡眠很差，常常半夜驚醒，醒來後心悸、盜汗，而且容易頭暈、健忘，感覺心神不寧。,c
1,勞傷心脾、心脾兩虛氣血不足者,我最近睡眠很差，容易心悸、氣短，而且常常覺得疲倦、沒精神，好像怎麼睡都睡不飽。,a
1,健忘不眠、思慮過度,我最近睡得很差，常常健忘事情，晚上躺在床上也睡不著，腦子裡一直胡思亂想。,a
1,健忘不眠、勞傷心脾,我最近記憶力變差，晚上睡不著，白天也提不起精神，感覺心很累。,a
1,健忘不眠、盜汗虛熱,我最近睡得很差，常常健忘、失眠，而且半夜會盜汗，醒來後覺得身體虛熱。,b
1,健忘不眠、食少體倦,我最近記憶力變差，晚上睡不著，白天又很累，吃不下東西，身體也越來越虛弱。,b
1,健忘不眠、脾不統血,我最近記憶力變差，晚上睡不著，就算睡著了也很容易醒來，而且醒來後就睡不著了。,f
1,健忘不眠、心脾兩虛氣血不足者,我最近記憶力變差，晚上睡不著，就算睡著了也很容易醒來，而且常常覺得心悸、氣短，身體虛弱。,a
1,盜汗虛熱、思慮過度,我最近睡覺時常盜汗，身體發熱，醒來後還是覺得很熱。而且我思緒很亂，一直胡思亂想，很難入睡。,e
1,盜汗虛熱、勞傷心脾,我最近睡覺時常盜汗，醒來後覺得身體發熱，而且很累，感覺心臟很虛弱。,h
1,盜汗虛熱、健忘不眠,我最近睡覺時常盜汗，身體發熱，白天容易健忘，晚上睡不著。,b
1,盜汗虛熱、食少體倦,我最近睡覺時常盜汗，醒來後覺得身體很熱，而且食慾不振，整天都覺得很累。,h
1,盜汗虛熱、脾不統血,我晚上睡覺時常盜汗，身體發熱，而且脾胃虛弱，容易出血。,b
1,盜汗虛熱、心脾兩虛氣血不足者,我晚上睡覺時常盜汗，身體發熱，白天容易疲倦、氣色不好，感覺心臟無力、氣血不足。,b
1,食少體倦、思慮過度,最近我食慾不振，身體疲倦，腦子裡一直胡思亂想，停不下來，害我晚上睡不著。,b
1,食少體倦、勞傷心脾,最近我食慾不振，身體疲倦，感覺心神受損，好像怎麼休息都無法恢復。,b
1,食少體倦、健忘不眠,最近我食慾變差，身體很疲倦，記憶力也變差了。最困擾的是晚上睡不著，就算睡著了也很容易醒來。,b
1,食少體倦、盜汗虛熱,最近我食慾變差，身體很疲倦，晚上睡覺時常盜汗，醒來後還是覺得很熱。,b
1,食少體倦、脾不統血,我最近食慾不振，身體很疲倦，而且容易出血，像是牙齦出血、鼻子出血。,b
1,食少體倦、心脾兩虛氣血不足者,我最近食慾不振，身體疲倦，心悸氣短，容易失眠，而且面色蒼白，手腳冰冷。,b
1,脾不統血、思慮過度,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。白天也容易胡思亂想，腦子裡一直轉個不停。,f
1,脾不統血、勞傷心脾,我最近睡眠很差，常常半夜醒來，醒來後就心悸、盜汗，而且容易疲倦、記憶力變差。,h
1,脾不統血、健忘不眠,我最近睡得很差，常常半夜醒來就睡不著，而且記性變得很差，容易忘記事情。,f
1,脾不統血、盜汗虛熱,我晚上睡覺時常出虛汗，醒來後覺得很熱，而且容易流鼻血、牙齦出血。,e
1,脾不統血、食少體倦,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。白天也覺得很累，沒什麼食慾，身體也懶洋洋的。,h
1,脾不統血、心脾兩虛氣血不足者,我最近睡得很差，常常半夜醒來，醒來後就心悸、盜汗，而且臉色蒼白、手腳冰冷。,h
1,心脾兩虛氣血不足者、思慮過度,我最近睡得很差，常常半夜醒來就睡不著，而且很容易心悸、氣短，白天也覺得疲倦沒精神。,h
1,心脾兩虛氣血不足者、勞傷心脾,我最近睡眠很差，容易心悸、氣短，而且很疲倦，感覺心臟無力，好像氣血不足一樣。,a
1,心脾兩虛氣血不足者、健忘不眠,我最近睡得很差，常常健忘、睡不著，而且氣色很差，容易疲倦。,b
1,心脾兩虛氣血不足者、盜汗虛熱,我最近睡得很差，常常半夜盜汗，醒來後覺得身體虛熱，而且氣血不足，容易疲倦。,b
1,心脾兩虛氣血不足者、食少體倦,我最近睡眠很差，常常半夜醒來就睡不著，而且很容易累，吃不下東西，身體也懶洋洋的。,b
1,心脾兩虛氣血不足者、脾不統血,我最近睡眠很差，容易心悸、氣短，而且臉色蒼白，嘴唇沒有血色，還常常頭暈。,a
2,心血不足所致的心臟神經官能衰弱、心神不寧,我最近睡得很差，心臟好像跳不出來一樣，整天心神不寧，靜不下來。,c
2,心血不足所致的心臟神經官能衰弱、心悸神疲,我最近睡得很差，常常心悸、疲倦，感覺心臟跳得很無力，好像快停了一樣。,a
2,心血不足所致的心臟神經官能衰弱、失眠多夢,我最近睡得很差，常常失眠，就算睡著了也會一直做夢。而且我很容易心悸，感覺心臟跳得很快，好像要跳出來一樣。,c
2,心神不寧、心血不足所致的心臟神經官能衰弱,我最近睡得很差，心神不寧，老是覺得心臟跳很快，好像要跳出來一樣。醫生說這是心血不足引起的心臟神經官能衰弱。,c
2,心神不寧、心悸神疲,我最近睡得很差，心神不寧，老是覺得心悸、疲倦，好像怎麼睡都睡不飽。,c
2,心神不寧、失眠多夢,我最近睡得很差，心神不寧，躺在床上翻來覆去睡不著，就算睡著了也一直做夢，醒來後還是很累。,f
2,心悸神疲、心血不足所致的心臟神經官能衰弱,我最近睡得很差，心臟跳得很快，人也特別疲倦。醫生說這是因為我的心血不足，導致心臟神經官能衰弱。,c
2,心悸神疲、心神不寧,最近睡覺老是心悸，覺得很累但又睡不著，心神不寧，整個人都很焦躁。,c
2,心悸神疲、失眠多夢,我最近睡得很差，心臟老是怦怦跳，人也累累的，晚上躺下後一直睡不著，就算睡著了也常常做夢，醒來後還是覺得很疲倦。,c
2,失眠多夢、心血不足所致的心臟神經官能衰弱,我最近失眠很嚴重，每天晚上都做很多夢，醒來後覺得心臟無力、胸悶，好像心臟要跳出來一樣。,c
2,失眠多夢、心神不寧,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢，醒來後還是覺得很累，而且整天心神不寧，坐立不安。,e
2,失眠多夢、心悸神疲,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢。白天心悸、疲倦，整個人都提不起勁。,h
3,膽虛痰熱內擾、虛煩不眠,我最近睡得很差，老是覺得心神不寧，好像有什麼東西在體內亂竄，害我無法入睡。,i
3,膽虛痰熱內擾、心悸易驚,我最近睡得很差，心臟老是跳很快，很容易被嚇到，而且喉嚨有痰，感覺很熱，好像有東西堵在胸口。,j
3,膽虛痰熱內擾、口苦嘔涎,我最近睡得很差，膽子變小了，容易被嚇到，喉嚨裡有痰，嘴巴苦苦的，還想吐。,d
3,膽虛痰熱內擾、膽胃不和,我最近睡得很差，膽子變小了，容易被嚇到，喉嚨有痰，還老是覺得噁心、想吐。,d
3,虛煩不眠、膽虛痰熱內擾,我最近睡得很差，腦子裡一直胡思亂想，無法入睡。而且膽子很小，容易被嚇到，喉嚨裡還有痰，感覺很熱，好像有什麼東西在裡面攪動一樣。,d
3,虛煩不眠、心悸易驚,我最近睡得很差，腦子裡一直胡思亂想，無法入睡。就算睡著了，也很容易被驚醒，而且心臟跳得很快。,f
3,虛煩不眠、口苦嘔涎,我最近睡不著，腦子裡一直胡思亂想，翻來覆去都睡不著。而且嘴巴很苦，還想吐。,d
3,虛煩不眠、膽胃不和,我最近睡得很差，腦子裡一直胡思亂想，無法入睡。而且胃口不好，吃東西容易脹氣、消化不良。,e
3,心悸易驚、膽虛痰熱內擾,我最近睡得很差，心臟跳得很快，很容易被嚇到，喉嚨裡還有痰，感覺很熱，好像有什麼東西在裡面攪動。,d
3,心悸易驚、虛煩不眠,我最近睡得很差，心臟跳得很快，很容易被嚇到，晚上也睡不著，腦子裡一直胡思亂想。,c
3,心悸易驚、口苦嘔涎,我最近睡不好，躺下後心臟跳很快，很容易被驚醒，還會口苦、噁心。,d
3,心悸易驚、膽胃不和,最近睡覺老是心悸、容易被嚇醒，肚子也不舒服，常常噁心想吐。,d
3,口苦嘔涎、膽虛痰熱內擾,我最近睡得很差，嘴巴苦苦的，還一直想吐。感覺膽子很虛，喉嚨裡有痰，好像有熱氣在裡面攪動。,d
3,口苦嘔涎、虛煩不眠,我最近睡得很差，嘴巴又苦又想吐，腦子裡一直胡思亂想，怎麼都睡不著。,d
3,口苦嘔涎、心悸易驚,我最近睡得很差，躺下後心臟會跳很快，很容易被驚醒，嘴巴也苦苦的，還一直想吐。,d
3,口苦嘔涎、膽胃不和,我最近睡得很差，嘴巴苦苦的，還一直想吐，感覺胃裡很不舒服。,d
3,膽胃不和、膽虛痰熱內擾,我最近睡得很差，胃口不好，常常覺得噁心、想吐，喉嚨也有痰，感覺心神不寧，很容易被嚇到。,d
3,膽胃不和、虛煩不眠,我最近睡得很差，胃口不好，常常覺得煩躁不安，晚上也睡不著。,e
3,膽胃不和、心悸易驚,我最近睡得很差，胃不舒服，常常心悸，一點小事就容易被嚇到。,d
3,膽胃不和、口苦嘔涎,我最近睡得很差，胃不舒服，常常口苦、想吐。,e
4,肝胃不和、神經官能症,我最近睡眠很差，常常半夜醒來，而且醒來後就睡不著了。白天也覺得很疲倦，但晚上就是睡不好。我還常常覺得心悸、胸悶，胃也不太舒服，容易脹氣和消化不良。,e
4,肝胃不和、失眠多夢,我最近睡得很差，常常做夢，而且醒來後覺得很累。我的胃也不太好，經常覺得脹氣、消化不良。,e
4,肝胃不和、潮熱盜汗,我最近睡覺老是做惡夢，醒來後還會盜汗，覺得身體很熱，而且胃口不好，吃什麼都不香。,e
4,肝胃不和、更年期障礙,最近睡覺老是醒來，而且醒來後會覺得口苦、噁心，好像消化不良一樣。我已經更年期了，不知道是不是跟這個也有關係。,e
4,神經官能症、肝胃不和,我最近睡眠很差，常常半夜驚醒，而且睡前會胡思亂想，很焦慮。醒來後還覺得口苦、噁心，胃也不舒服。,d
4,神經官能症、失眠多夢,我最近神經兮兮的，常常睡不著，就算睡著了也一直做夢，醒來後還是覺得很累。,e
4,神經官能症、潮熱盜汗,我最近睡眠很差，常常半夜醒來，而且醒來後會覺得很熱，全身盜汗，整個人很焦慮、緊張。,e
4,神經官能症、更年期障礙,最近我常常睡不好，神經兮兮的，一點小事就緊張焦慮，而且最近更年期到了，身體很不舒服，晚上常盜汗、心悸，很難入睡。,e
4,失眠多夢、肝胃不和,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢。而且我常常覺得胃不舒服，吃東西容易脹氣、消化不良。,e
4,失眠多夢、神經官能症,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢。白天也精神很差，容易緊張、焦慮，感覺自己快得神經病了。,h
4,失眠多夢、潮熱盜汗,我最近失眠很嚴重，晚上躺在床上翻來覆去睡不著，就算睡著了也一直做夢。而且我常常覺得很熱，還會盜汗，醒來後全身濕透。,e
4,失眠多夢、更年期障礙,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢。而且我最近更年期到了，身體很不舒服，常常潮熱盜汗，心情也很煩躁。,e
4,潮熱盜汗、肝胃不和,最近睡覺時常覺得很熱，還會盜汗，醒來後口苦、噁心，感覺肝胃不太舒服。,e
4,潮熱盜汗、神經官能症,我最近睡覺時常常盜汗，醒來後覺得很熱，而且很焦慮、緊張，好像神經衰弱一樣。,h
4,潮熱盜汗、失眠多夢,我最近睡覺時常常盜汗，醒來後全身濕透，而且整晚都睡不著，一直做夢，早上起來覺得很累。,h
4,潮熱盜汗、更年期障礙,最近晚上睡覺時常覺得很熱，還會盜汗，醒來後全身濕透。而且情緒起伏很大，容易心煩意亂，懷疑自己是不是更年期到了。,e
4,更年期障礙、肝胃不和,最近更年期症狀很嚴重，睡覺時常盜汗、心悸，還會有口苦、噁心、想吐的感覺。,e
4,更年期障礙、神經官能症,我最近更年期症狀很嚴重，常常睡不著，而且很焦慮、緊張，一點小事就容易發脾氣。,e
4,更年期障礙、失眠多夢,最近更年期症狀很嚴重，晚上睡不著，就算睡著了也一直做夢，醒來後覺得很累。,e
4,更年期障礙、潮熱盜汗,最近更年期症狀很嚴重，晚上睡覺時常覺得熱得受不了，全身盜汗，醒來後又覺得冷，整個人很不舒服，很難入睡。,e
5,讀書善忘、心神不寧,我最近記憶力變差，讀書容易忘記，而且心神不寧，坐立不安。,f
5,讀書善忘、失眠多夢,我最近記憶力變差，讀書容易忘記，晚上也睡不好，常常做夢，醒來後還是很累。,f
5,心神不寧、讀書善忘,我最近睡得很差，腦子裡一直胡思亂想，靜不下來。讀書的時候也記不住東西，很容易就忘記。,f
5,心神不寧、失眠多夢,我最近睡得很差，心神不寧，躺在床上翻來覆去睡不著，就算睡著了也一直做夢，醒來後還是很累。,f
5,失眠多夢、讀書善忘,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也一直做夢，醒來後什麼都不記得，讀書也記不住東西。,f
5,失眠多夢、心神不寧,我最近失眠很嚴重，每天晚上都睡不著，就算睡著了也會一直做夢，醒來後還是覺得很累，而且整天心神不寧，坐立不安。,e
6,臟躁悲傷欲哭、精神恍惚,我最近睡得很差，心情很煩躁、悲傷，很想哭，整個人恍恍惚惚的。,g
6,臟躁悲傷欲哭、情緒躁動,我最近睡得很差，心情很煩躁、悲傷，很想哭，情緒也控制不住，很容易激動。,g
6,臟躁悲傷欲哭、睡眠不安,我最近心情很差，常常覺得煩躁、悲傷，很想哭。晚上睡覺也睡不好，翻來覆去睡不著。,g
6,臟躁悲傷欲哭、更年期綜合徵,我最近睡得很差，心情煩躁、悲傷，很想哭，而且有更年期的症狀。,g
6,精神恍惚、臟躁悲傷欲哭,最近我老是睡不好，醒來後精神恍惚，心情煩躁、悲傷，很想哭。,g
6,精神恍惚、情緒躁動,最近我睡得很差，白天精神恍惚，注意力無法集中，情緒也變得起伏很大，容易激動或煩躁。,e
6,精神恍惚、睡眠不安,最近我精神恍惚，白天常常覺得昏昏沉沉，晚上卻睡不著，翻來覆去睡不踏實。,g
6,精神恍惚、更年期綜合徵,最近我常常精神恍惚，注意力不集中，記憶力也變差了。而且我還會有熱潮紅、盜汗、失眠等更年期症狀。,e
6,情緒躁動、臟躁悲傷欲哭,我最近睡得很差，情緒很激動，常常莫名其妙地煩躁、悲傷，很想哭。,g
6,情緒躁動、精神恍惚,最近我睡得很差，情緒很激動，常常坐立不安，腦袋也昏昏沉沉的，好像在夢遊一樣。,e
6,情緒躁動、睡眠不安,我最近睡得很差，情緒很浮躁，常常半夜醒來就睡不著了。,e
6,情緒躁動、更年期綜合徵,我最近睡得很差，情緒起伏很大，容易發脾氣，而且有更年期的症狀，像是盜汗、熱潮紅。,e
6,睡眠不安、臟躁悲傷欲哭,我最近睡得很差，常常半夜醒來就睡不著，而且心情很煩躁、悲傷，很想哭。,g
6,睡眠不安、精神恍惚,我最近睡得很差，常常半夜醒來就睡不著，白天精神恍惚，注意力無法集中。,f
6,睡眠不安、情緒躁動,我最近睡得很差，常常半夜醒來就睡不著，而且心情很煩躁，一點小事就容易生氣。,e
6,睡眠不安、更年期綜合徵,我最近睡眠很差，常常半夜醒來就睡不著，而且容易心煩意亂、盜汗，感覺身體很不舒服。,e
6,更年期綜合徵、臟躁悲傷欲哭,最近更年期症狀很嚴重，睡不著，心煩意亂，很容易悲傷想哭。,g
6,更年期綜合徵、精神恍惚,最近更年期症狀很嚴重，晚上睡不著，白天精神恍惚，整個人都提不起勁。,e
6,更年期綜合徵、情緒躁動,最近更年期症狀很嚴重，睡覺時情緒起伏很大，一下很激動，一下又很低落，害我整晚都睡不著。,e
6,更年期綜合徵、睡眠不安,最近更年期症狀很嚴重，晚上睡不著，翻來覆去睡不著，就算睡著了也容易醒來。,e
7,神經衰弱所致虛煩不眠、心悸盜汗,我最近神經衰弱，晚上睡不著，腦子裡一直胡思亂想，心臟跳得很快，還會盜汗。,h
7,神經衰弱所致虛煩不眠、頭目眩暈,我最近神經衰弱，晚上睡不著，腦子裡一直胡思亂想，頭暈目眩，感覺很煩躁。,h
7,神經衰弱所致虛煩不眠、口乾咽燥,我最近神經衰弱，晚上睡不著，腦子裡一直胡思亂想，嘴巴和喉嚨都很乾。,h
7,心悸盜汗、神經衰弱所致虛煩不眠,我最近睡得很差，躺下後心臟會跳很快，還會盜汗。我感覺自己很虛弱，神經衰弱，腦子裡一直胡思亂想，睡不著。,h
7,心悸盜汗、頭目眩暈,最近睡覺時，我常常心悸、盜汗，醒來後頭暈目眩，整個人都很不舒服。,h
7,心悸盜汗、口乾咽燥,我最近睡覺時常會心悸盜汗，醒來後口乾舌燥，喉嚨像著火一樣。,h
7,頭目眩暈、神經衰弱所致虛煩不眠,我最近睡眠很差，常常頭暈目眩，感覺神經衰弱，腦子裡一直胡思亂想，怎麼也睡不著。,h
7,頭目眩暈、心悸盜汗,最近睡覺時，我常常頭暈目眩，心臟跳得很快，還會盜汗，讓我睡得很不安穩。,h
7,頭目眩暈、口乾咽燥,最近睡覺老是頭暈目眩，醒來後口乾舌燥，好像一整晚沒喝水一樣。,h
7,口乾咽燥、神經衰弱所致虛煩不眠,我最近睡得很差，嘴巴和喉嚨都很乾，感覺很煩躁，睡不著。,h
7,口乾咽燥、心悸盜汗,我最近睡覺老是口乾舌燥，喉嚨很乾，心臟跳得很快，還會盜汗，醒來後覺得很累。,h
7,口乾咽燥、頭目眩暈,我最近睡覺老是睡不飽，醒來後還是覺得很累，而且嘴巴很乾、喉嚨也很乾，頭暈暈的，好像隨時會昏倒一樣。,h
8,肝經虛熱、驚悸抽搐,我最近睡覺時常被驚醒，還會抽搐，醒來後覺得心悸，好像肝火很旺一樣。,i
8,肝經虛熱、腹脹食少,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。肚子脹脹的，食慾也不好，吃一點東西就覺得飽。,e
8,肝經虛熱、睡臥不安,我最近睡覺老是睡不著，翻來覆去都睡不著，而且睡著後也睡不沉，很容易醒來。,h
8,肝經虛熱、小兒夜啼,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。我的肝火很旺，容易口乾舌燥，小孩子半夜也常哭鬧不休。,i
8,驚悸抽搐、肝經虛熱,我最近睡覺時常被驚醒，還會抽搐，醒來後覺得肝火旺盛，口乾舌燥。,i
8,驚悸抽搐、腹脹食少,我最近睡覺時常被驚醒，還會抽搐，肚子脹脹的，吃不下東西。,i
8,驚悸抽搐、睡臥不安,我最近睡覺時常被驚醒，還會抽搐，整晚都睡不安穩，翻來覆去睡不著。,i
8,驚悸抽搐、小兒夜啼,我最近睡覺時常被嚇醒，還會全身抽搐，我家的孩子也常常半夜哭鬧，害我整晚都睡不好。,i
8,腹脹食少、肝經虛熱,我最近睡得很差，肚子脹脹的，吃不下什麼東西，而且肝火旺盛，容易口乾舌燥。,i
8,腹脹食少、驚悸抽搐,我最近睡得很差，肚子脹脹的，吃不下什麼東西。睡覺時還會心悸，身體還會抽搐。,i
8,腹脹食少、睡臥不安,我最近睡得很差，肚子脹脹的，吃不下什麼東西。躺下後也睡不著，一直翻來覆去。,i
8,腹脹食少、小兒夜啼,我最近睡得很差，肚子脹脹的，吃不下什麼東西。我家的孩子也睡不好，晚上一直哭鬧。,i
8,睡臥不安、肝經虛熱,我最近睡覺時老是翻來覆去，睡不踏實，而且常常覺得身體發熱，尤其是肝臟部位。,e
8,睡臥不安、驚悸抽搐,我晚上睡覺時老是翻來覆去，睡不著，而且常常會突然驚醒，全身抽搐。,i
8,睡臥不安、腹脹食少,我最近睡覺時老是翻來覆去，睡不踏實，肚子也脹脹的，吃不下什麼東西。,i
8,睡臥不安、小兒夜啼,我最近睡覺很不安穩，常常翻來覆去睡不著，而且我家的孩子半夜也常哭鬧，讓我更難入睡。,f
8,小兒夜啼、肝經虛熱,我家小孩最近晚上一直哭鬧，怎麼哄都哄不好。而且他手心腳心都很熱，睡覺時還會踢被子。,i
8,小兒夜啼、驚悸抽搐,我家小孩晚上睡覺常哭鬧，而且會突然驚醒，手腳抽搐，看起來很痛苦。,i
8,小兒夜啼、腹脹食少,我家小孩最近晚上一直哭鬧，睡不著，肚子脹脹的，吃東西也吃很少。,i
8,小兒夜啼、睡臥不安,我家小孩最近晚上一直哭鬧，睡覺時也睡不安穩，一直翻來覆去。,i
9,精神神經官能症、血管神經性頭痛,我最近睡眠很差，常常感到焦慮、緊張，頭也經常莫名其妙地痛，痛起來就像血管在跳一樣。,j
9,精神神經官能症、更年期綜合徵,我最近睡眠很差，常常半夜驚醒，而且醒來後就睡不著了。白天也容易緊張、焦慮，情緒起伏很大，還會有心悸、盜汗等症狀。,h
9,精神神經官能症、高血壓,我最近睡眠很差，常常半夜驚醒，而且醒來後心悸、手抖，白天也容易緊張、焦慮，血壓也偏高。,j
9,精神神經官能症、失眠等具有胸滿煩驚之主症者,我最近精神很差，容易緊張、焦慮，晚上睡不著，就算睡著了也容易醒來，而且胸悶、心悸，感覺很煩躁。,j
9,血管神經性頭痛、精神神經官能症,我最近睡眠很差，頭常莫名劇烈疼痛，而且容易緊張、焦慮，常常覺得心神不寧。,j
9,血管神經性頭痛、更年期綜合徵,我最近睡眠很差，頭常脹痛，像血管在跳一樣，而且情緒起伏很大，容易發脾氣、失眠。,j
9,血管神經性頭痛、高血壓,我最近睡覺時常被頭痛痛醒，而且頭痛起來會伴隨著血壓升高，痛起來的時候會覺得頭脹脹的，還會有噁心、想吐的感覺。,j
9,血管神經性頭痛、失眠等具有胸滿煩驚之主症者,我最近睡不好，頭常常痛，而且痛起來像血管在跳一樣，還會胸悶、心悸、容易受驚嚇。,j
9,更年期綜合徵、精神神經官能症,最近更年期症狀很嚴重，常常睡不著，就算睡著了也會一直做夢，醒來後還是很累。而且我很容易緊張、焦慮，一點小事就寢食難安。,e
9,更年期綜合徵、血管神經性頭痛,最近更年期症狀很嚴重，晚上睡不著，常覺得頭又脹又痛，像血管在跳一樣。,j
9,更年期綜合徵、高血壓,最近更年期症狀很嚴重，晚上睡不著，就算睡著了也會一直盜汗、心悸，而且血壓也高，常常頭暈。,j
9,更年期綜合徵、失眠等具有胸滿煩驚之主症者,更年期後，我經常失眠，睡不著時會覺得胸口悶悶的，很容易被嚇到。,j
9,高血壓、精神神經官能症,我最近睡得很差，躺下後血壓會升高，而且精神很緊張、焦慮，常常胡思亂想，很難入睡。,j
9,高血壓、血管神經性頭痛,我最近睡得很差，躺下後血壓會升高，頭也會痛，痛起來像神經在跳一樣。,j
